id_tempo,data_inversa,dia_semana,horario,fase_dia
176,2025-01-07,terça-feira,12:30:00,Pleno dia
177,2025-01-07,terça-feira,12:55:00,Pleno dia
178,2025-01-07,terça-feira,13:15:00,Pleno dia
179,2025-01-07,terça-feira,10:40:00,Pleno dia
180,2025-01-07,terça-feira,13:20:00,Pleno dia
181,2025-01-07,terça-feira,12:10:00,Pleno dia
182,2025-01-07,terça-feira,12:04:00,Pleno dia
183,2025-01-07,terça-feira,09:30:00,Pleno dia
184,2025-01-07,terça-feira,13:30:00,Pleno dia
185,2025-01-07,terça-feira,14:20:00,Pleno dia
186,2025-01-07,terça-feira,15:00:00,Pleno dia
187,2025-01-04,sábado,01:30:00,Plena Noite
188,2025-01-07,terça-feira,14:30:00,Pleno dia
189,2025-01-07,terça-feira,15:30:00,Pleno dia
190,2025-01-07,terça-feira,15:50:00,Pleno dia
191,2025-01-07,terça-feira,16:15:00,Pleno dia
192,2025-01-07,terça-feira,15:48:00,Pleno dia
193,2025-01-07,terça-feira,13:55:00,Pleno dia
194,2025-01-07,terça-feira,14:00:00,Pleno dia
195,2025-01-07,terça-feira,14:52:00,Pleno dia
196,2025-01-07,terça-feira,17:35:00,Anoitecer
197,2025-01-07,terça-feira,19:40:00,Plena Noite
198,2025-01-07,terça-feira,17:24:00,Anoitecer
199,2025-01-07,terça-feira,17:00:00,Pleno dia
200,2025-01-07,terça-feira,21:15:00,Plena Noite
201,2025-01-07,terça-feira,17:30:00,Anoitecer
202,2025-01-07,terça-feira,22:00:00,Plena Noite
203,2025-01-07,terça-feira,20:00:00,Plena Noite
204,2025-01-07,terça-feira,22:30:00,Plena Noite
205,2025-01-07,terça-feira,23:40:00,Plena Noite
206,2025-01-08,quarta-feira,07:00:00,Pleno dia
207,2025-01-08,quarta-feira,06:40:00,Pleno dia
208,2025-01-08,quarta-feira,07:25:00,Pleno dia
209,2025-01-08,quarta-feira,08:15:00,Pleno dia
210,2025-01-08,quarta-feira,09:15:00,Pleno dia
211,2025-01-08,quarta-feira,06:50:00,Pleno dia
212,2025-01-08,quarta-feira,08:50:00,Pleno dia
213,2025-01-08,quarta-feira,09:25:00,Pleno dia
214,2025-01-08,quarta-feira,09:30:00,Pleno dia
215,2025-01-08,quarta-feira,05:30:00,Amanhecer
216,2025-01-08,quarta-feira,10:00:00,Pleno dia
217,2025-01-08,quarta-feira,11:48:00,Pleno dia
218,2025-01-08,quarta-feira,12:05:00,Pleno dia
219,2025-01-08,quarta-feira,13:10:00,Pleno dia
220,2025-01-08,quarta-feira,10:30:00,Pleno dia
221,2025-01-08,quarta-feira,12:10:00,Pleno dia
222,2025-01-08,quarta-feira,14:00:00,Pleno dia
223,2025-01-08,quarta-feira,12:38:00,Pleno dia
224,2025-01-08,quarta-feira,10:16:00,Pleno dia
225,2025-01-08,quarta-feira,15:15:00,Pleno dia
226,2025-01-08,quarta-feira,14:10:00,Pleno dia
227,2025-01-08,quarta-feira,16:03:00,Pleno dia
228,2025-01-08,quarta-feira,15:30:00,Pleno dia
229,2025-01-08,quarta-feira,16:15:00,Pleno dia
230,2025-01-08,quarta-feira,16:30:00,Pleno dia
231,2025-01-08,quarta-feira,17:00:00,Pleno dia
232,2025-01-08,quarta-feira,17:33:00,Pleno dia
233,2025-01-08,quarta-feira,16:20:00,Pleno dia
234,2025-01-08,quarta-feira,18:00:00,Pleno dia
235,2025-01-08,quarta-feira,15:00:00,Pleno dia
236,2025-01-08,quarta-feira,17:38:00,Pleno dia
237,2025-01-08,quarta-feira,12:40:00,Pleno dia
238,2025-01-08,quarta-feira,17:45:00,Anoitecer
239,2025-01-08,quarta-feira,17:40:00,Pleno dia
240,2025-01-08,quarta-feira,18:05:00,Anoitecer
241,2025-01-08,quarta-feira,12:45:00,Pleno dia
242,2025-01-08,quarta-feira,17:10:00,Pleno dia
243,2025-01-08,quarta-feira,17:30:00,Anoitecer
244,2025-01-08,quarta-feira,20:25:00,Plena Noite
245,2025-01-08,quarta-feira,21:10:00,Plena Noite
246,2025-01-08,quarta-feira,20:00:00,Plena Noite
247,2025-01-08,quarta-feira,21:21:00,Plena Noite
248,2025-01-08,quarta-feira,20:10:00,Plena Noite
249,2025-01-08,quarta-feira,22:30:00,Plena Noite
250,2025-01-08,quarta-feira,20:45:00,Plena Noite
251,2025-01-08,quarta-feira,16:40:00,Pleno dia
252,2025-01-08,quarta-feira,22:07:00,Plena Noite
253,2025-01-08,quarta-feira,22:40:00,Plena Noite
254,2025-01-09,quinta-feira,00:40:00,Plena Noite
255,2025-01-08,quarta-feira,23:00:00,Plena Noite
256,2025-01-09,quinta-feira,00:50:00,Plena Noite
257,2025-01-09,quinta-feira,00:10:00,Plena Noite
258,2025-01-09,quinta-feira,02:50:00,Plena Noite
259,2025-01-09,quinta-feira,04:30:00,Amanhecer
260,2025-01-09,quinta-feira,04:00:00,Plena Noite
261,2025-01-09,quinta-feira,03:50:00,Plena Noite
262,2025-01-09,quinta-feira,05:30:00,Amanhecer
263,2025-01-09,quinta-feira,05:25:00,Amanhecer
264,2025-01-08,quarta-feira,21:50:00,Plena Noite
265,2025-01-09,quinta-feira,06:30:00,Amanhecer
266,2025-01-09,quinta-feira,00:27:00,Plena Noite
267,2025-01-09,quinta-feira,06:40:00,Pleno dia
268,2025-01-09,quinta-feira,07:00:00,Pleno dia
269,2025-01-09,quinta-feira,08:00:00,Pleno dia
270,2025-01-09,quinta-feira,05:00:00,Amanhecer
271,2025-01-09,quinta-feira,08:40:00,Pleno dia
272,2025-01-09,quinta-feira,06:00:00,Pleno dia
273,2025-01-09,quinta-feira,10:00:00,Pleno dia
274,2025-01-09,quinta-feira,12:00:00,Pleno dia
275,2025-01-09,quinta-feira,13:30:00,Pleno dia
276,2025-01-09,quinta-feira,13:00:00,Pleno dia
277,2025-01-09,quinta-feira,12:50:00,Pleno dia
278,2025-01-09,quinta-feira,13:15:00,Pleno dia
279,2025-01-09,quinta-feira,08:55:00,Pleno dia
280,2025-01-09,quinta-feira,13:55:00,Pleno dia
281,2025-01-09,quinta-feira,15:10:00,Pleno dia
282,2025-01-09,quinta-feira,10:15:00,Pleno dia
283,2025-01-09,quinta-feira,15:40:00,Pleno dia
284,2025-01-09,quinta-feira,15:00:00,Pleno dia
285,2025-01-09,quinta-feira,16:40:00,Pleno dia
286,2025-01-09,quinta-feira,17:00:00,Pleno dia
287,2025-01-09,quinta-feira,16:14:00,Pleno dia
288,2025-01-09,quinta-feira,12:30:00,Pleno dia
289,2025-01-09,quinta-feira,16:30:00,Pleno dia
290,2025-01-09,quinta-feira,17:40:00,Anoitecer
291,2025-01-09,quinta-feira,18:15:00,Pleno dia
292,2025-01-09,quinta-feira,11:55:00,Pleno dia
293,2025-01-09,quinta-feira,16:00:00,Pleno dia
294,2025-01-09,quinta-feira,22:00:00,Plena Noite
295,2025-01-09,quinta-feira,21:31:00,Plena Noite
296,2025-01-09,quinta-feira,23:50:00,Plena Noite
297,2025-01-09,quinta-feira,19:05:00,Plena Noite
298,2025-01-10,sexta-feira,00:30:00,Plena Noite
299,2025-01-10,sexta-feira,03:05:00,Plena Noite
300,2025-01-10,sexta-feira,02:00:00,Plena Noite
301,2025-01-09,quinta-feira,01:30:00,Plena Noite
302,2025-01-09,quinta-feira,13:50:00,Pleno dia
303,2025-01-10,sexta-feira,05:50:00,Amanhecer
304,2025-01-10,sexta-feira,05:40:00,Amanhecer
305,2025-01-10,sexta-feira,01:30:00,Plena Noite
306,2025-01-10,sexta-feira,07:10:00,Pleno dia
307,2025-01-10,sexta-feira,06:20:00,Amanhecer
308,2025-01-10,sexta-feira,06:40:00,Pleno dia
309,2025-01-10,sexta-feira,07:30:00,Pleno dia
310,2025-01-10,sexta-feira,07:00:00,Pleno dia
311,2025-01-10,sexta-feira,06:10:00,Pleno dia
312,2025-01-10,sexta-feira,04:40:00,Amanhecer
313,2025-01-10,sexta-feira,04:40:00,Plena Noite
314,2025-01-10,sexta-feira,09:15:00,Pleno dia
315,2025-01-10,sexta-feira,08:10:00,Pleno dia
316,2025-01-10,sexta-feira,09:00:00,Pleno dia
317,2025-01-10,sexta-feira,09:40:00,Pleno dia
318,2025-01-10,sexta-feira,10:50:00,Pleno dia
319,2025-01-10,sexta-feira,09:20:00,Pleno dia
320,2025-01-10,sexta-feira,10:15:00,Pleno dia
321,2025-01-10,sexta-feira,14:15:00,Pleno dia
322,2025-01-10,sexta-feira,14:30:00,Pleno dia
323,2025-01-10,sexta-feira,05:30:00,Amanhecer
324,2025-01-10,sexta-feira,13:57:00,Pleno dia
325,2025-01-10,sexta-feira,15:15:00,Pleno dia
326,2025-01-10,sexta-feira,15:20:00,Pleno dia
327,2025-01-10,sexta-feira,15:00:00,Pleno dia
328,2025-01-10,sexta-feira,16:30:00,Pleno dia
329,2025-01-10,sexta-feira,17:45:00,Pleno dia
330,2025-01-10,sexta-feira,17:30:00,Pleno dia
331,2025-01-10,sexta-feira,16:00:00,Pleno dia
332,2025-01-10,sexta-feira,14:00:00,Pleno dia
333,2025-01-10,sexta-feira,20:51:00,Plena Noite
334,2025-01-10,sexta-feira,20:00:00,Plena Noite
335,2025-01-10,sexta-feira,20:55:00,Plena Noite
336,2025-01-10,sexta-feira,20:30:00,Plena Noite
337,2025-01-10,sexta-feira,18:00:00,Pleno dia
338,2025-01-10,sexta-feira,22:20:00,Plena Noite
339,2025-01-10,sexta-feira,23:25:00,Plena Noite
340,2025-01-10,sexta-feira,22:15:00,Plena Noite
341,2025-01-11,sábado,01:00:00,Plena Noite
342,2025-01-10,sexta-feira,22:40:00,Plena Noite
343,2025-01-10,sexta-feira,23:00:00,Plena Noite
344,2025-01-11,sábado,02:30:00,Plena Noite
345,2025-01-11,sábado,04:40:00,Amanhecer
346,2025-01-11,sábado,04:00:00,Plena Noite
347,2025-01-10,sexta-feira,22:00:00,Plena Noite
348,2025-01-11,sábado,06:10:00,Pleno dia
349,2025-01-11,sábado,06:04:00,Amanhecer
350,2025-01-10,sexta-feira,13:40:00,Pleno dia
351,2025-01-11,sábado,07:47:00,Pleno dia
352,2025-01-11,sábado,07:40:00,Pleno dia
353,2025-01-07,terça-feira,18:40:00,Anoitecer
354,2025-01-11,sábado,05:57:00,Pleno dia
355,2025-01-11,sábado,05:40:00,Amanhecer
356,2025-01-11,sábado,08:33:00,Pleno dia
357,2025-01-11,sábado,09:50:00,Pleno dia
358,2025-01-11,sábado,09:20:00,Pleno dia
359,2025-01-11,sábado,07:00:00,Pleno dia
360,2025-01-11,sábado,06:00:00,Amanhecer
361,2025-01-11,sábado,11:30:00,Pleno dia
362,2025-01-11,sábado,12:00:00,Pleno dia
363,2025-01-10,sexta-feira,17:00:00,Pleno dia
364,2025-01-11,sábado,14:00:00,Pleno dia
365,2025-01-11,sábado,13:50:00,Pleno dia
366,2025-01-11,sábado,13:45:00,Pleno dia
367,2025-01-11,sábado,15:00:00,Pleno dia
368,2025-01-11,sábado,13:30:00,Pleno dia
369,2025-01-11,sábado,15:15:00,Pleno dia
370,2025-01-11,sábado,16:55:00,Anoitecer
371,2025-01-11,sábado,16:10:00,Pleno dia
372,2025-01-11,sábado,20:00:00,Plena Noite
373,2025-01-11,sábado,21:40:00,Plena Noite
374,2025-01-11,sábado,22:10:00,Plena Noite
375,2025-01-11,sábado,17:15:00,Pleno dia
376,2025-01-11,sábado,19:20:00,Plena Noite
377,2025-01-11,sábado,22:00:00,Plena Noite
378,2025-01-12,domingo,04:40:00,Amanhecer
379,2025-01-12,domingo,05:20:00,Amanhecer
380,2025-01-12,domingo,05:54:00,Amanhecer
381,2025-01-12,domingo,07:00:00,Pleno dia
382,2025-01-12,domingo,10:10:00,Pleno dia
383,2025-01-12,domingo,08:45:00,Pleno dia
384,2025-01-12,domingo,08:20:00,Pleno dia
385,2025-01-12,domingo,10:00:00,Pleno dia
386,2025-01-12,domingo,05:30:00,Amanhecer
387,2025-01-12,domingo,10:29:00,Pleno dia
388,2025-01-12,domingo,11:47:00,Pleno dia
389,2025-01-12,domingo,11:10:00,Pleno dia
390,2025-01-12,domingo,10:25:00,Pleno dia
391,2025-01-12,domingo,13:30:00,Pleno dia
392,2025-01-12,domingo,11:50:00,Pleno dia
393,2025-01-12,domingo,06:45:00,Pleno dia
394,2025-01-12,domingo,14:00:00,Pleno dia
395,2025-01-12,domingo,18:30:00,Pleno dia
396,2025-01-12,domingo,17:15:00,Pleno dia
397,2025-01-12,domingo,08:00:00,Pleno dia
398,2025-01-12,domingo,20:30:00,Plena Noite
399,2025-01-12,domingo,20:50:00,Plena Noite
400,2025-01-12,domingo,21:45:00,Plena Noite
401,2025-01-12,domingo,22:06:00,Plena Noite
402,2025-01-12,domingo,23:40:00,Plena Noite
403,2025-01-12,domingo,22:05:00,Plena Noite
404,2025-01-13,segunda-feira,00:00:00,Plena Noite
405,2025-01-12,domingo,21:00:00,Plena Noite
406,2025-01-12,domingo,22:30:00,Plena Noite
407,2025-01-13,segunda-feira,04:00:00,Plena Noite
408,2025-01-13,segunda-feira,01:50:00,Plena Noite
409,2025-01-13,segunda-feira,05:10:00,Amanhecer
410,2025-01-13,segunda-feira,00:30:00,Plena Noite
411,2025-01-13,segunda-feira,00:05:00,Plena Noite
412,2025-01-13,segunda-feira,07:15:00,Pleno dia
413,2025-01-12,domingo,19:00:00,Plena Noite
414,2025-01-13,segunda-feira,07:40:00,Pleno dia
415,2025-01-13,segunda-feira,07:30:00,Amanhecer
416,2025-01-13,segunda-feira,09:10:00,Pleno dia
417,2025-01-13,segunda-feira,08:15:00,Pleno dia
418,2025-01-13,segunda-feira,08:20:00,Pleno dia
419,2025-01-13,segunda-feira,06:41:00,Pleno dia
420,2025-01-13,segunda-feira,08:40:00,Pleno dia
421,2025-01-09,quinta-feira,23:00:00,Plena Noite
422,2025-01-12,domingo,06:20:00,Amanhecer
423,2025-01-13,segunda-feira,08:10:00,Pleno dia
424,2025-01-13,segunda-feira,07:10:00,Pleno dia
425,2025-01-13,segunda-feira,04:29:00,Amanhecer
426,2025-01-13,segunda-feira,12:45:00,Pleno dia
427,2025-01-13,segunda-feira,11:20:00,Pleno dia
428,2025-01-13,segunda-feira,09:00:00,Pleno dia
429,2025-01-13,segunda-feira,11:51:00,Pleno dia
430,2025-01-13,segunda-feira,14:15:00,Pleno dia
431,2025-01-13,segunda-feira,13:00:00,Pleno dia
432,2025-01-13,segunda-feira,12:18:00,Pleno dia
433,2025-01-13,segunda-feira,15:30:00,Pleno dia
434,2025-01-13,segunda-feira,14:30:00,Pleno dia
435,2025-01-13,segunda-feira,17:00:00,Pleno dia
436,2025-01-13,segunda-feira,14:49:00,Pleno dia
437,2025-01-13,segunda-feira,16:00:00,Pleno dia
438,2025-01-13,segunda-feira,16:30:00,Pleno dia
439,2025-01-13,segunda-feira,17:50:00,Pleno dia
440,2025-01-13,segunda-feira,18:10:00,Plena Noite
441,2025-01-13,segunda-feira,16:10:00,Pleno dia
442,2025-01-12,domingo,10:45:00,Pleno dia
443,2025-01-13,segunda-feira,20:00:00,Plena Noite
444,2025-01-13,segunda-feira,20:10:00,Plena Noite
445,2025-01-13,segunda-feira,21:30:00,Plena Noite
446,2025-01-14,terça-feira,06:30:00,Pleno dia
447,2025-01-14,terça-feira,06:00:00,Pleno dia
448,2025-01-14,terça-feira,06:15:00,Pleno dia
449,2025-01-14,terça-feira,05:00:00,Amanhecer
450,2025-01-14,terça-feira,06:00:00,Amanhecer
451,2025-01-14,terça-feira,09:16:00,Pleno dia
452,2025-01-14,terça-feira,09:10:00,Pleno dia
453,2025-01-14,terça-feira,04:35:00,Plena Noite
454,2025-01-14,terça-feira,09:00:00,Pleno dia
455,2025-01-06,segunda-feira,19:00:00,Plena Noite
456,2025-01-14,terça-feira,08:00:00,Pleno dia
457,2025-01-14,terça-feira,09:55:00,Pleno dia
458,2025-01-14,terça-feira,06:57:00,Pleno dia
459,2025-01-14,terça-feira,11:45:00,Pleno dia
460,2025-01-14,terça-feira,11:30:00,Pleno dia
461,2025-01-14,terça-feira,10:30:00,Pleno dia
462,2025-01-14,terça-feira,10:39:00,Pleno dia
463,2025-01-14,terça-feira,09:15:00,Pleno dia
464,2025-01-14,terça-feira,12:50:00,Pleno dia
465,2025-01-14,terça-feira,14:00:00,Pleno dia
466,2025-01-14,terça-feira,09:25:00,Pleno dia
467,2025-01-14,terça-feira,13:30:00,Pleno dia
468,2025-01-14,terça-feira,15:20:00,Pleno dia
469,2025-01-11,sábado,16:33:00,Pleno dia
470,2025-01-14,terça-feira,14:30:00,Pleno dia
471,2025-01-14,terça-feira,15:45:00,Pleno dia
472,2025-01-14,terça-feira,16:55:00,Pleno dia
473,2025-01-14,terça-feira,18:30:00,Anoitecer
474,2025-01-14,terça-feira,18:30:00,Plena Noite
475,2025-01-07,terça-feira,06:30:00,Amanhecer
476,2025-01-14,terça-feira,20:10:00,Plena Noite
477,2025-01-14,terça-feira,14:48:00,Pleno dia
478,2025-01-14,terça-feira,19:50:00,Plena Noite
479,2025-01-14,terça-feira,22:25:00,Plena Noite
480,2025-01-14,terça-feira,20:00:00,Plena Noite
481,2025-01-14,terça-feira,23:30:00,Plena Noite
482,2025-01-15,quarta-feira,01:50:00,Plena Noite
483,2025-01-15,quarta-feira,03:40:00,Plena Noite
484,2025-01-14,terça-feira,21:30:00,Plena Noite
485,2025-01-15,quarta-feira,05:30:00,Amanhecer
486,2025-01-15,quarta-feira,06:00:00,Amanhecer
487,2025-01-14,terça-feira,18:18:00,Anoitecer
488,2025-01-15,quarta-feira,07:00:00,Pleno dia
489,2025-01-14,terça-feira,23:55:00,Plena Noite
490,2025-01-15,quarta-feira,06:51:00,Pleno dia
491,2025-01-15,quarta-feira,08:00:00,Pleno dia
492,2025-01-14,terça-feira,14:45:00,Pleno dia
493,2025-01-01,quarta-feira,14:30:00,Pleno dia
